STARTDATE,LOCNAME,COUNTRYID,LOCPRESENT
05-05-1986 00:00,Abu Ramad,SU,1
05-05-1986 00:00,Gebel Elba,SU,1
25-04-1986 00:00,Abu Ramad,SU,1
25-04-1986 00:00,Gebel Elba,SU,1
11-12-1986 00:00,El Managil,SU,1
20-12-1986 00:00, ,ER,1
25-09-1986 00:00,Musalem,YE,1
13-12-1986 00:00, ,SU,1
13-12-1986 00:00, ,SU,1
13-12-1986 00:00, ,SU,1
12-12-1986 00:00,"Arashkol, Jabal",SU,1
09-12-1986 00:00,El Mineidreb,SU,1
24-10-1986 00:00,Mugnus area,SU,1
21-10-1986 00:00, ,SU,1
08-11-1986 00:00,Oued In Boulal,ML,1
12-11-1986 00:00,Oued Amais,AG,1
14-11-1986 00:00,Oued In Aboulal,ML,1
26-09-1986 00:00,In Dalen,NG,1
24-09-1986 00:00,Assoloak,NG,1
24-09-1986 00:00,Tin Ekest,NG,1
21-09-1986 00:00,Aghli,NG,1
27-12-1986 00:00,El  Hegailig,SU,1
22-02-1986 00:00,Umm Lajj,SA,1
19-02-1986 00:00,Umm Lajj,SA,1
07-04-1986 00:00,Rabigh,SA,1
13-01-1986 00:00,Lith,SA,1
05-10-1986 00:00, ,ML,2
30-10-1986 00:00, ,NG,2
30-11-1986 00:00, ,SA,1
28-11-1986 00:00,Jedda,SA,1
27-11-1986 00:00,Jedda,SA,1
26-11-1986 00:00,Jedda,SA,1
24-11-1986 00:00,Medina,SA,1
20-11-1986 00:00,Jedda,SA,1
05-10-1986 00:00, ,NG,2
05-10-1986 00:00, ,NG,2
15-10-1986 00:00, ,NG,2
26-11-1986 00:00, ,MR,2
15-12-1986 00:00,Lith,SA,1
05-08-1986 00:00,Kamchewa,ER,1
05-08-1986 00:00,Embere,ER,1
29-12-1986 00:00,Qunfidah,SA,1
27-12-1986 00:00,Qunfidah,SA,1
26-12-1986 00:00,Qunfidah,SA,1
21-12-1986 00:00,Qunfidah,SA,1
20-12-1986 00:00,Qunfidah,SA,1
17-12-1986 00:00,Qunfidah,SA,1
24-09-1986 00:00, ,NG,2
21-09-1986 00:00, ,NG,2
12-11-1986 00:00, ,AG,2
25-09-1986 00:00, ,NG,2
15-12-1986 00:00,Qunfidah,SA,1
09-12-1986 00:00,Qunfidah,SA,1
21-12-1986 00:00,Ghumaygah,SA,1
24-09-1986 00:00, ,NG,2
26-09-1986 00:00, ,NG,2
18-02-1986 00:00,Umm Lajj,SA,1
17-02-1986 00:00,Umm Lajj,SA,1
10-02-1986 00:00,"Thamad, Wadi",SA,1
09-02-1986 00:00, ,SA,1
11-11-1986 00:00,Gharb Elmawhour area,EG,1
25-04-1986 00:00,Abu Ramad,EG,1
25-04-1986 00:00,Gebel Elba,EG,1
13-10-1986 00:00, ,NG,2
15-03-1986 00:00,Unayzah,SA,1
15-02-1986 00:00,Yanbu,SA,1
19-10-1986 00:00,20 km E of Zalingei,SU,1
24-03-1986 00:00,Taharoy,SU,1
18-02-1986 00:00,Kenana,SU,1
25-12-1986 00:00,Baaluk,SU,1
15-12-1986 00:00,Adobana,SU,1
20-12-1986 00:00, ,SU,1
24-03-1986 00:00, ,SU,1
14-12-1986 00:00,Hud Bahr,SU,1
13-12-1986 00:00,Hud Eila,SU,1
13-12-1986 00:00,Dambil,SU,1
05-12-1986 00:00, ,SU,1
05-12-1986 00:00,Et Talha,SU,1
23-11-1986 00:00, ,SU,1
13-10-1986 00:00, ,NG,1
26-10-1986 00:00, ,ML,1
26-10-1986 00:00, ,ML,1
13-10-1986 00:00, ,NG,1
14-10-1986 00:00,Tassankolo,NG,1
29-09-1986 00:00, ,NG,2
29-09-1986 00:00, ,NG,2
11-06-1986 00:00, ,AG,2
15-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
05-10-1986 00:00, ,NG,2
05-10-1986 00:00, ,NG,2
26-10-1986 00:00, ,NG,2
02-10-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
19-10-1986 00:00, ,NG,2
25-10-1986 00:00, ,NG,2
23-10-1986 00:00, ,ML,2
14-10-1986 00:00, ,ML,2
23-10-1986 00:00, ,ML,2
05-12-1986 00:00, ,MR,2
01-10-1986 00:00, ,ML,2
28-10-1986 00:00, ,ML,2
27-05-1986 00:00,HAIL,SA,1
23-10-1986 00:00, ,ML,2
28-05-1986 00:00,Quwaiiyah,SA,1
27-05-1986 00:00,Quwaiiyah,SA,1
05-03-1986 00:00,Abu Ramad,SU,1
20-02-1986 00:00,Abu Ramad,EG,1
17-10-1986 00:00, ,NG,2
17-10-1986 00:00, ,NG,2
20-03-1986 00:00,Rabigh,SA,1
19-03-1986 00:00,Nuweiba,EG,1
18-03-1986 00:00,Rabigh,SA,1
17-03-1986 00:00,El Akhal,SA,1
04-06-1986 00:00,Quweiiya,SA,1
17-10-1986 00:00, ,ML,1
02-06-1986 00:00,Quwaiiyah,SA,1
15-03-1986 00:00,Khor Karora,ER,1
25-08-1986 00:00, ,SU,1
15-08-1986 00:00, ,SU,1
25-12-1986 00:00,Khor Oko,SU,1
05-03-1986 00:00, ,SU,1
05-12-1986 00:00,Abu Sinon,SU,1
25-11-1986 00:00,Gadamai,SU,1
15-12-1986 00:00,BARBAR,SU,1
05-11-1986 00:00,Quz Abu Dulu,SU,1
05-11-1986 00:00,Abu Ushar,SU,1
05-11-1986 00:00,El Garaa,SU,1
05-11-1986 00:00,Abu Hamra,SU,1
25-02-1986 00:00, ,SU,1
25-10-1986 00:00, ,SU,1
25-10-1986 00:00, ,SU,1
25-09-1986 00:00, ,SU,1
10-09-1986 00:00, ,SU,1
05-11-1986 00:00,Arashkul,SU,1
05-11-1986 00:00,Helba,SU,1
05-11-1986 00:00, ,SU,1
05-11-1986 00:00, ,SU,1
25-11-1986 00:00,Abu Salam,SU,1
25-11-1986 00:00,Abu Ushar,SU,1
25-11-1986 00:00,El Garaa,SU,1
25-11-1986 00:00,Abu Halfa (WTRH),SU,1
15-12-1986 00:00,Arqah,YE,1
05-12-1986 00:00,Arqah,YE,1
25-10-1986 00:00, ,SU,1
25-10-1986 00:00, ,SU,1
05-10-1986 00:00,"Odi, Wadi",SU,1
15-10-1986 00:00,K. Talguharai,SU,1
05-10-1986 00:00,K. Talguharai,SU,1
12-03-1986 00:00,Suakin,SU,1
09-09-1986 00:00,Wadi Hadramout,YE,1
25-10-1986 00:00, ,SU,1
25-10-1986 00:00, ,SU,1
25-10-1986 00:00, ,SU,1
25-10-1986 00:00,Abu Dom,SU,1
25-10-1986 00:00, ,SU,1
25-10-1986 00:00, ,SU,1
25-10-1986 00:00, ,SU,1
25-10-1986 00:00,"Odi, Wadi",SU,1
25-10-1986 00:00,Esh Shuqeiq,SU,1
25-10-1986 00:00, ,SU,1
10-08-1987 00:00,Baaluk,SU,1
10-08-1987 00:00,Umm Chadida,SU,1
10-08-1987 00:00,Smababiet,SU,1
10-08-1987 00:00,Gox Abu Dulu,SU,1
10-08-1987 00:00,Wadi al Humar,SU,1
10-08-1987 00:00,Wadi Abu Haraz,SU,1
10-08-1987 00:00,Wadi Guba,SU,1
26-10-1987 00:00,Ederoum,MR,1
10-07-1987 00:00,Zagada Valley,NG,1
10-07-1987 00:00,Fares,NG,1
24-07-1987 00:00,Assangou,NG,1
24-07-1987 00:00,Talassane,NG,1
26-07-1987 00:00,Tamastadene,NG,1
10-10-1987 00:00,Wadi el Merikh,SU,1
10-10-1987 00:00,Idd El Turue,SU,1
26-07-1987 00:00,Tamou Tamet,NG,1
26-07-1987 00:00,In Aouak,NG,1
26-07-1987 00:00,Eghazer,NG,1
05-07-1987 00:00,Tafidet,NG,1
11-10-1987 00:00,Wadi Gardai,SU,1
